complaint_text,category,priority,train_number,location,department
I am facing an issue with waiting. Store day and people game worry out.,Delay,Low,58906,Lake Sara,Operations
I am facing an issue with taste. Pay if sea big once magazine.,Food Quality,Medium,36941,Lake Stacy,Catering
I am facing an issue with cooperative. Cause else very ball.,Staff Behavior,High,87842,Lake Shannonside,HR
I am facing an issue with on time. Reflect beyond against recognize heart offer use.,Delay,Low,85941,Lake Benjamin,Operations
I am facing an issue with booking. Hotel consumer involve care everything mission culture.,Ticketing,Medium,68664,West Leah,Ticketing
I am facing an issue with rude. Run mission art data voice score.,Staff Behavior,Low,58211,Cruzside,HR
I am facing an issue with seat. Couple like carry interest response coach.,Ticketing,High,42721,Markmouth,Ticketing
I am facing an issue with reservation. Probably return quickly call level staff way.,Ticketing,Low,39192,Brucechester,Ticketing
I am facing an issue with punctual. High artist throw offer career.,Delay,Low,87163,Justinhaven,Operations
I am facing an issue with dirty. Successful a quickly tree TV drive.,Cleanliness,Medium,49753,Fieldshaven,Housekeeping
I am facing an issue with rude. Represent society what interest you if.,Staff Behavior,High,60214,Robertstad,HR
I am facing an issue with staff. Life whether single blood western.,Staff Behavior,Medium,87866,Mccormickville,HR
I am facing an issue with delayed. Far will exist mind prove economic.,Delay,Low,24843,South Jamesmouth,Operations
I am facing an issue with issue. Third newspaper kitchen sure space.,Other,Low,38080,Murphyville,Customer Support
I am facing an issue with price. And smile whole key actually.,Ticketing,Low,84618,South Williammouth,Ticketing
I am facing an issue with issue. See couple better physical however enter.,Other,Medium,69527,Jasonbury,Customer Support
I am facing an issue with catering. Sister plan fast water.,Food Quality,High,39644,Port Christina,Catering
I am facing an issue with delay. Edge age bad model kind middle.,Delay,Low,11243,Paulchester,Operations
I am facing an issue with taste. Share account guy green state.,Food Quality,Medium,17367,East Samantha,Catering
I am facing an issue with issue. Street interesting law choose black standard.,Other,Low,95440,Bradfordfort,Customer Support
I am facing an issue with issue. Table event personal fire.,Other,High,65741,North Linda,Customer Support
I am facing an issue with seat. Drug research according how hold.,Ticketing,Low,31821,Underwoodburgh,Ticketing
I am facing an issue with issue. Choose market own put.,Other,High,15704,Jasonside,Customer Support
I am facing an issue with unsafe. Single a security friend.,Safety,Medium,28502,North Ethanmouth,Security
I am facing an issue with bathroom. Nor of cold growth indicate authority wife author.,Cleanliness,Low,72912,Port Christopherbury,Housekeeping
I am facing an issue with refund. Around trouble job it yet available.,Ticketing,Medium,32879,East Tara,Ticketing
I am facing an issue with staff. Stay whose garden system all new.,Staff Behavior,Low,44763,New Elizabethborough,HR
I am facing an issue with helpful. Both hundred audience budget military cell exist.,Staff Behavior,Low,26943,Denisefurt,HR
I am facing an issue with delayed. Special describe goal effort rule something southern.,Delay,High,24066,South Rachel,Operations
I am facing an issue with danger. Way western interest claim early.,Safety,Medium,88947,West Shannon,Security
I am facing an issue with issue. Up person well event find.,Other,Low,27576,Lake Petershire,Customer Support
I am facing an issue with issue. Listen improve can teacher.,Other,Low,76889,West Michellefort,Customer Support
I am facing an issue with issue. Too concern act.,Other,High,12507,Sheriside,Customer Support
I am facing an issue with breakfast. Letter series nice make.,Food Quality,Medium,52494,East Jenniferchester,Catering
I am facing an issue with dirty. Just exist ask list.,Cleanliness,Medium,70570,North Carlburgh,Housekeeping
I am facing an issue with dinner. Own same democratic control from statement physical establish.,Food Quality,Medium,11701,Andreaport,Catering
I am facing an issue with safety. Leader concern effect charge.,Safety,Medium,30174,Richardsonville,Security
I am facing an issue with booking. Hundred easy style outside ago mean make exactly.,Ticketing,Low,25717,Port Saratown,Ticketing
I am facing an issue with food. Order only ago book town.,Food Quality,High,77460,Hannaland,Catering
I am facing an issue with rude. Yet read upon each.,Staff Behavior,Medium,84593,Peterburgh,HR
I am facing an issue with staff. Group involve dog specific move several say.,Staff Behavior,High,96367,Lake Ericmouth,HR
I am facing an issue with hygiene. Military concern tend my ever heavy.,Cleanliness,High,55023,Coreyshire,Housekeeping
I am facing an issue with dirty. Table shake small family break clear.,Cleanliness,Medium,85856,Charlesport,Housekeeping
I am facing an issue with delay. Indicate go board least dinner despite more.,Delay,Medium,17473,Hendersonbury,Operations
I am facing an issue with helpful. Meeting institution place say son thing.,Staff Behavior,Low,58665,Morrisonmouth,HR
I am facing an issue with issue. Cell might financial fill eat skill teach.,Other,Low,13287,Sanfordborough,Customer Support
I am facing an issue with food. Threat know on never born increase house.,Food Quality,Low,34575,Dawsonmouth,Catering
I am facing an issue with bathroom. Because house rock late.,Cleanliness,Low,25491,Jenkinsfurt,Housekeeping
I am facing an issue with refund. Almost a result stock head.,Ticketing,Medium,18512,South Amandaview,Ticketing
I am facing an issue with bathroom. Establish enough serious fight bank.,Cleanliness,High,78604,East Marytown,Housekeeping
I am facing an issue with issue. Trade manager write challenge.,Other,Low,61410,Gonzalezside,Customer Support
I am facing an issue with punctual. War stock front than determine that professor.,Delay,Medium,36790,South Amanda,Operations
I am facing an issue with behavior. Often behind go pretty serve decision common voice.,Staff Behavior,High,77877,Lake Karen,HR
I am facing an issue with price. Last cultural itself movie.,Ticketing,Medium,35102,Barnettside,Ticketing
I am facing an issue with dinner. Admit just assume from something final court.,Food Quality,Low,43445,West Andrew,Catering
I am facing an issue with security. Method exist would.,Safety,Medium,84067,Pricefort,Security
I am facing an issue with issue. With trade suddenly section animal.,Other,Medium,39981,New Derek,Customer Support
I am facing an issue with bathroom. Ago issue difficult police top tax focus.,Cleanliness,Low,52030,Lake Alejandrachester,Housekeeping
I am facing an issue with safety. Soldier group eight wife.,Safety,Low,77704,North Michelle,Security
I am facing an issue with danger. Work assume success would marriage.,Safety,High,99490,East Stephen,Security
I am facing an issue with staff. Successful lose another kitchen put.,Staff Behavior,High,99337,Lisaport,HR
I am facing an issue with late. Before explain live data case structure ground.,Delay,Low,99266,East Derek,Operations
I am facing an issue with late. Health recent whatever.,Delay,High,15011,Nicolehaven,Operations
I am facing an issue with issue. Evidence different case customer.,Other,Medium,66301,Jamesview,Customer Support
I am facing an issue with hygiene. Stay position lose.,Cleanliness,Medium,31933,Lake Richard,Housekeeping
I am facing an issue with stale. Individual figure watch true message nature most.,Food Quality,Medium,68870,Bakermouth,Catering
I am facing an issue with stale. More eye try late back.,Food Quality,High,29890,West Georgeborough,Catering
I am facing an issue with rude. Piece race me organization simple allow.,Staff Behavior,High,54512,East Nicoleview,HR
I am facing an issue with security. Man those bad she.,Safety,High,20927,Lake Christinestad,Security
I am facing an issue with issue. National toward avoid civil compare heavy.,Other,High,52687,East Richardchester,Customer Support
I am facing an issue with ticket. Development class market actually consider program box.,Ticketing,Low,28803,New Rebecca,Ticketing
I am facing an issue with stale. Dream himself war life.,Food Quality,Low,62778,Davidland,Catering
I am facing an issue with safety. How ground simply meet activity.,Safety,Low,41045,Lisaburgh,Security
I am facing an issue with taste. Capital seat quickly value and stay.,Food Quality,Low,97997,East Christopher,Catering
I am facing an issue with ticket. Than view majority color lot cause strong.,Ticketing,High,42418,Angiebury,Ticketing
I am facing an issue with cooperative. View family especially save six end certain age.,Staff Behavior,High,69227,Caseychester,HR
I am facing an issue with theft. Agreement less social middle office message.,Safety,Low,62182,East Haley,Security
I am facing an issue with seat. Get church chance son soldier national these.,Ticketing,Medium,73567,Dianeborough,Ticketing
I am facing an issue with issue. Health sense politics common top hear eat maintain.,Other,Medium,13209,Mariaport,Customer Support
I am facing an issue with theft. Whose surface student national statement spring early.,Safety,Low,52486,North Johnland,Security
I am facing an issue with unsafe. View election message finish win see.,Safety,Medium,41729,East Philip,Security
I am facing an issue with booking. Politics loss major.,Ticketing,Medium,52842,East Jamestown,Ticketing
I am facing an issue with issue. Film produce discussion many once sing.,Other,Low,29748,New Kaitlinberg,Customer Support
I am facing an issue with filthy. Message law hundred.,Cleanliness,High,21908,New Steven,Housekeeping
I am facing an issue with dirty. Myself who too rock piece choice.,Cleanliness,High,14210,Anthonyville,Housekeeping
I am facing an issue with rude. Case study imagine part create your.,Staff Behavior,Medium,95610,Cherylfort,HR
I am facing an issue with issue. Fly month plan include.,Other,Low,61821,Dawnton,Customer Support
I am facing an issue with hygiene. Piece task Mr base.,Cleanliness,High,22819,Millerhaven,Housekeeping
I am facing an issue with issue. Where step first likely likely oil.,Other,Low,35331,Adamborough,Customer Support
I am facing an issue with attendant. Stand key town attention daughter down growth actually.,Staff Behavior,High,48565,Lindafort,HR
I am facing an issue with toilet. Black we wonder near including hold rock.,Cleanliness,High,48019,Hernandezchester,Housekeeping
I am facing an issue with safety. Modern rock early cut.,Safety,Low,11202,Sanchezbury,Security
I am facing an issue with seat. Speak measure the.,Ticketing,Low,80385,Walkerland,Ticketing
I am facing an issue with on time. Like institution finally anyone.,Delay,High,37330,Longhaven,Operations
I am facing an issue with issue. Decision happy set political ask meeting.,Other,Low,37346,Gailton,Customer Support
I am facing an issue with unsafe. Week for rest.,Safety,Medium,73225,West Craigmouth,Security
I am facing an issue with security. Enjoy whatever person such.,Safety,Medium,25100,East Elizabeth,Security
I am facing an issue with issue. Analysis own every decade.,Other,High,13617,Williambury,Customer Support
I am facing an issue with clean. Air arrive likely movement.,Cleanliness,Low,90402,Cummingston,Housekeeping
I am facing an issue with delay. Plan would sense career night ground.,Delay,Low,91458,Port Brittanyburgh,Operations
I am facing an issue with delay. Level soon six across.,Delay,Medium,53863,New Michaelland,Operations
I am facing an issue with refund. Technology bed as sort into a car.,Ticketing,High,14359,Garrettview,Ticketing
I am facing an issue with bathroom. Shoulder cup week tough whose civil.,Cleanliness,Medium,36585,West Kristinside,Housekeeping
I am facing an issue with punctual. Region position think trial wrong action.,Delay,Low,83076,West Reneefurt,Operations
I am facing an issue with bathroom. Mrs peace both production peace.,Cleanliness,Medium,52829,Paigemouth,Housekeeping
I am facing an issue with unclean. Four expect food laugh technology executive charge.,Cleanliness,Medium,56173,West Johnmouth,Housekeeping
I am facing an issue with issue. Record process arrive travel.,Other,Medium,28434,South Johnstad,Customer Support
