user_id,source,train_number,station_code,train_details.train_name,train_details.station_code,train_details.station_name,train_details.arrival_time,train_details.departure_time,train_details.seq,train_details.distance,train_details.source_station,train_details.source_station_name,train_details.destination_station,train_details.destination_station_name,category,priority_percentage,description,keywords,departments,status,status_history,createdAt,updatedAt
69980694370cb24f4b8d4431,web,12301,NDLS,Rajdhani Express,NDLS,New Delhi,16:00,16:30,5,1384,HWH,Howrah,NDLS,New Delhi,"delay,staff behavior",85,Train is running 2 hours late and the attendant was rude when asked about arrival time.,"late,rude,attendant","operations,customer_service",assigned,[],2025-02-15T08:30:00Z,2025-02-15T08:35:00Z
69980694370cb24f4b8d4431,mobile,12951,BCT,Mumbai Rajdhani,BCT,Mumbai Central,20:15,20:20,2,1384,BCT,Mumbai Central,NDLS,New Delhi,"cleanliness,food quality",70,The toilet in coach B1 is extremely dirty and the pantry served stale food.,"dirty toilet,stale food,pantry","cleaning,catering",working_on,[],2025-02-16T11:20:00Z,2025-02-16T11:25:00Z
69980694370cb24f4b8d4431,email,12001,BPL,Bhopal Shatabdi,BPL,Bhopal,06:00,06:05,1,BPL,NDLS,New Delhi,BPL,Bhopal,ticketing,30,I booked ticket online but my name is misspelled. Please correct.,"booking error,name correction",ticketing,received,[],2025-02-14T09:45:00Z,2025-02-14T09:46:00Z
69980694370cb24f4b8d4431,twitter,12627,SBC,Karnataka Express,SBC,Bengaluru,15:30,15:35,12,5000,SBC,Bengaluru,NDLS,New Delhi,"safety,security",95,A suspicious bag was left in coach S3. No one is claiming it. Please check immediately.,"suspicious bag,security threat",security,escalated,[],2025-02-17T14:10:00Z,2025-02-17T14:12:00Z
69980694370cb24f4b8d4431,web,12649,NDLS,Sampark Kranti Express,NDLS,New Delhi,22:00,22:10,3,2000,NDLS,New Delhi,MAS,Chennai Central,medical,100,"Passenger in coach A1, seat 23, has severe chest pain. Need medical assistance urgently.","chest pain,emergency,medical",medical,assigned,[],2025-02-18T21:55:00Z,2025-02-18T21:56:00Z
69980694370cb24f4b8d4431,mobile,12615,BZA,Grand Trunk Express,BZA,Vijayawada,10:45,10:50,8,2180,BZA,Vijayawada,NDLS,New Delhi,delay,60,Train delayed by 1 hour at Vijayawada due to signal failure. No announcement made.,"delay,signal failure,announcement",operations,received,[],2025-02-13T10:30:00Z,2025-02-13T10:32:00Z
69980694370cb24f4b8d4431,email,12633,MAS,Tamil Nadu Express,MAS,Chennai Central,06:45,06:50,1,MAS,NDLS,New Delhi,MAS,Chennai Central,staff behavior,45,The TTE was very uncooperative and spoke rudely.,"rude tte,behavior",customer_service,hold,[],2025-02-12T07:20:00Z,2025-02-12T07:22:00Z
69980694370cb24f4b8d4431,web,12641,ERS,Thirukkural Express,ERS,Ernakulam,23:15,23:20,10,3000,ERS,Ernakulam,NDLS,New Delhi,cleanliness,55,Coach S5 has cockroaches and dirty linen.,"cockroaches,dirty linen",cleaning,working_on,[],2025-02-19T23:30:00Z,2025-02-19T23:32:00Z
69980694370cb24f4b8d4431,mobile,12643,NDLS,Swarna Jayanti Express,NDLS,New Delhi,07:30,07:35,2,NDLS,TRVL,Trivandrum,NDLS,New Delhi,food quality,40,The meal served was cold and tasted bad.,"cold food,bad taste",catering,pending_info,[],2025-02-20T08:00:00Z,2025-02-20T08:02:00Z
69980694370cb24f4b8d4431,twitter,12645,ERS,Ernakulam Express,ERS,Ernakulam,18:00,18:05,3,ERS,BCT,Mumbai Central,ERS,Ernakulam,ticketing,20,"Unable to cancel ticket online, website error.","cancellation,website error",ticketing,received,[],2025-02-11T18:30:00Z,2025-02-11T18:31:00Z
